method,setting,transform,select_dim,num_layers,hidden_size,batch_size,lr,weight_decay,propensity_C,k,weight_func,lambda_loss,max_epochs,patience,seed
ipcw,covariate_low_resource,,,1,32,128,0.0005,0.0001,1.0,,,,,,
ipcw,covariate_moderate_resource,,,3,16,128,0.0005,0.0001,1.0,,,,,,
ipcw,covariate_high_resource,,,1,32,128,0.0001,1e-06,1.0,,,,,,
deephit,covariate_low_resource,,,1,64,128,0.0005,1e-05,,,,,,,
deephit,covariate_moderate_resource,,,3,64,64,0.001,0.0001,,,,,,,
deephit,covariate_high_resource,,,1,64,64,0.001,1e-05,,,,,,,
powell,covariate_low_resource,,,3,16,256,0.0001,1e-06,,,,,,,
powell,covariate_moderate_resource,,,1,16,128,0.0001,1e-05,,,,,,,
powell,covariate_high_resource,,,3,32,256,0.0001,1e-06,,,,,,,
oracle,covariate_low_resource,,,3,16,64,0.001,1e-06,,,,,,,
oracle,covariate_moderate_resource,,,3,32,64,0.0005,0.0001,,,,,,,
oracle,covariate_high_resource,,,3,32,64,0.0005,1e-06,,,,,,,
cwite,covariate_low_resource,,,1,64,128,0.0005,1e-06,1.0,95,linear,0.075,,,
cwite,covariate_moderate_resource,,,1,32,128,0.0005,1e-05,1.0,95,linear,0.075,,,
cwite,covariate_high_resource,,,1,16,128,0.0005,1e-06,1.0,95,linear,0.075,,,
Standard Margin,covariate_low_resource,,,3,16,256,0.0001,1e-06,,,,,,,
Standard Margin,covariate_moderate_resource,,,1,16,128,0.0001,1e-05,,,,,,,
Standard Margin,covariate_high_resource,,,3,32,256,0.0001,1e-06,,,,,,,
