875, [3, 32, 128, 0.01, 1e-06]
876, [3, 32, 512, 0.001, 1e-05]
877, [3, 64, 128, 0.001, 1e-05]
878, [3, 32, 512, 0.001, 1e-06]
879, [3, 32, 512, 0.001, 1e-05]
880, [3, 64, 512, 0.01, 1e-05]
881, [3, 64, 512, 0.001, 1e-06]
882, [3, 64, 512, 0.01, 1e-06]
883, [3, 64, 512, 0.001, 1e-06]
884, [3, 64, 512, 0.001, 1e-06]
885, [3, 64, 1024, 0.01, 1e-06]
886, [3, 64, 1024, 0.01, 1e-05]
887, [3, 64, 1024, 0.001, 1e-06]
888, [3, 64, 256, 0.01, 1e-05]
889, [3, 64, 256, 0.01, 1e-06]
890, [3, 64, 1024, 0.001, 1e-06]
891, [3, 64, 1024, 0.01, 1e-05]
892, [3, 64, 1024, 0.01, 1e-05]
893, [3, 64, 128, 0.001, 1e-06]
894, [3, 64, 1024, 0.01, 1e-06]
895, [3, 32, 512, 0.001, 1e-06]
896, [3, 32, 512, 0.01, 1e-05]
897, [3, 64, 512, 0.01, 1e-06]
898, [3, 64, 1024, 0.01, 1e-05]
899, [3, 64, 128, 0.001, 1e-05]
900, [3, 32, 128, 0.01, 1e-06]
901, [3, 32, 512, 0.01, 1e-05]
902, [3, 64, 512, 0.01, 1e-05]
903, [3, 64, 512, 0.01, 1e-05]
904, [3, 64, 512, 0.01, 1e-06]
905, [3, 64, 512, 0.001, 1e-05]
906, [3, 32, 512, 0.001, 1e-05]
907, [3, 64, 512, 0.01, 1e-05]
908, [3, 32, 128, 0.001, 1e-05]
909, [3, 64, 512, 0.01, 1e-06]
910, [3, 64, 512, 0.01, 1e-05]
911, [3, 64, 512, 0.001, 1e-05]
912, [3, 64, 128, 0.01, 1e-06]
913, [3, 32, 1024, 0.01, 1e-05]
914, [3, 32, 512, 0.01, 1e-05]
915, [3, 64, 1024, 0.01, 1e-06]
916, [3, 64, 128, 0.001, 1e-05]
917, [3, 64, 512, 0.001, 1e-05]
918, [3, 32, 512, 0.01, 1e-06]
919, [3, 64, 128, 0.01, 1e-05]
920, [3, 64, 1024, 0.01, 1e-05]
921, [3, 64, 256, 0.01, 1e-06]
922, [3, 64, 1024, 0.01, 1e-06]
923, [3, 32, 128, 0.01, 1e-05]
924, [3, 32, 128, 0.01, 1e-05]
925, [3, 64, 128, 0.001, 1e-05]
926, [3, 32, 512, 0.001, 1e-05]
927, [3, 64, 1024, 0.01, 1e-06]
928, [3, 32, 128, 0.01, 1e-05]
929, [3, 32, 1024, 0.01, 1e-05]
930, [3, 64, 128, 0.001, 1e-05]
931, [3, 64, 1024, 0.01, 1e-05]
932, [3, 64, 128, 0.01, 1e-05]
933, [3, 32, 1024, 0.001, 1e-05]
934, [3, 64, 512, 0.01, 1e-06]
935, [3, 64, 512, 0.01, 1e-05]
936, [3, 64, 1024, 0.01, 1e-05]
937, [3, 64, 512, 0.001, 1e-06]
938, [3, 32, 1024, 0.001, 1e-05]
939, [3, 32, 512, 0.01, 1e-06]
940, [3, 32, 512, 0.01, 1e-06]
941, [3, 32, 512, 0.01, 1e-06]
942, [3, 64, 128, 0.001, 1e-06]
943, [3, 64, 1024, 0.01, 1e-06]
944, [3, 32, 512, 0.001, 1e-06]
945, [3, 64, 128, 0.01, 1e-05]
946, [3, 64, 512, 0.01, 1e-06]
947, [3, 64, 1024, 0.01, 1e-05]
948, [3, 64, 128, 0.01, 1e-06]
949, [3, 32, 512, 0.001, 1e-05]
950, [3, 64, 512, 0.01, 1e-05]
951, [3, 64, 128, 0.01, 1e-05]
952, [3, 64, 256, 0.01, 1e-06]
953, [3, 64, 512, 0.01, 1e-06]
954, [3, 64, 1024, 0.01, 1e-05]
955, [3, 32, 512, 0.01, 1e-06]
956, [3, 64, 512, 0.001, 1e-06]
957, [3, 64, 512, 0.01, 1e-05]
958, [3, 64, 128, 0.001, 1e-06]
959, [3, 32, 1024, 0.01, 1e-05]
960, [3, 32, 512, 0.01, 1e-06]
961, [3, 32, 128, 0.001, 1e-06]
962, [3, 32, 512, 0.001, 1e-05]
963, [3, 32, 512, 0.01, 1e-05]
964, [3, 32, 128, 0.001, 1e-05]
965, [3, 64, 512, 0.001, 1e-06]
966, [3, 64, 512, 0.001, 1e-06]
967, [3, 64, 128, 0.01, 1e-05]
968, [3, 64, 512, 0.001, 1e-06]
969, [3, 64, 128, 0.01, 1e-05]
970, [3, 32, 512, 0.001, 1e-05]
971, [3, 64, 512, 0.01, 1e-06]
972, [3, 64, 1024, 0.01, 1e-06]
973, [3, 64, 128, 0.001, 1e-05]
974, [3, 64, 128, 0.001, 1e-05]
975, [3, 32, 512, 0.001, 1e-06]
976, [3, 64, 1024, 0.01, 1e-05]
977, [3, 64, 512, 0.001, 1e-06]
978, [3, 32, 512, 0.001, 1e-06]
979, [3, 32, 128, 0.01, 1e-06]
980, [3, 32, 128, 0.001, 1e-05]
981, [3, 64, 512, 0.01, 1e-06]
982, [3, 64, 128, 0.001, 1e-06]
983, [3, 64, 128, 0.001, 1e-06]
984, [3, 64, 1024, 0.01, 1e-05]
985, [3, 64, 512, 0.001, 1e-06]
986, [3, 32, 128, 0.001, 1e-06]
987, [3, 32, 128, 0.01, 1e-06]
988, [3, 64, 512, 0.01, 1e-06]
989, [3, 64, 1024, 0.01, 1e-06]
990, [3, 64, 512, 0.01, 1e-06]
991, [3, 64, 128, 0.001, 1e-05]
992, [3, 32, 128, 0.01, 1e-06]
993, [3, 32, 1024, 0.01, 1e-06]
994, [3, 32, 512, 0.01, 1e-05]
995, [3, 64, 128, 0.001, 1e-06]
996, [3, 64, 512, 0.001, 1e-05]
997, [3, 32, 512, 0.01, 1e-05]
998, [3, 64, 1024, 0.01, 1e-06]
999, [3, 32, 1024, 0.01, 1e-05]
